OT Command	Page	Error Condition
OT Copy	24	memory cannot be allocated for the copy
OT PutArray	26	inObject is not a valid object handle
OT PutArray	26	an item with the given tag exists and has any other type
OT PutArrayBLOB	27	the object is not a valid object handle, if no item in the object has the given tag, or if the 4D version is not v14 or later
OT PutArrayBLOB	27	an item with the given tag exists and has any other type, or if the index is out of range
OT PutArrayBoolean	28	the object is not a valid object handle or if no item in the object has the given tag
OT PutArrayBoolean	28	an item with the given tag exists and has any other type, or if the index is out of range
OT PutArrayDate	29	the object is not a valid object handle or if no item in the object has the given tag
OT PutArrayDate	29	an item with the given tag exists and has any other type, or if the index is out of range
OT PutArrayLong	30	the object is not a valid object handle or if no item in the object has the given tag
OT PutArrayLong	30	an item with the given tag exists and has any other type, or if the index is out of range
OT PutArrayPicture	31	the object is not a valid object handle or if no item in the object has the given tag
OT PutArrayPicture	31	an item with the given tag exists and has any other type, or if the index is out of range
OT PutArrayPointer	32	the object is not a valid object handle or if no item in the object has the given tag
OT PutArrayPointer	32	an item with the given tag exists and has any other type, or if the index is out of range
OT PutArrayReal	33	the object is not a valid object handle or if no item in the object has the given tag
OT PutArrayReal	33	an item with the given tag exists and has any other type, or if the index is out of range
OT PutArrayString	34	the object is not a valid object handle or if no item in the object has the given tag
OT PutArrayString	34	an item with the given tag exists and has any other type, or if the index is out of range
OT PutArrayText	35	the object is not a valid object handle or if no item in the object has the given tag
OT PutArrayText	35	an item with the given tag exists and has any other type, or if the index is out of range
OT PutArrayTime	36	the object is not a valid object handle, if no item in the object has the given tag, or if the 4D version is not v14 or later
OT PutArrayTime	36	an item with the given tag exists and has any other type, or if the index is out of range
OT PutBLOB	37	inObject is not a valid object handle
OT PutBLOB	37	an item with the given tag exists and has any other type
OT PutBoolean	38	inObject is not a valid object handle
OT PutBoolean	38	an item with the given tag exists and has any other type
OT PutDate	39	inObject is not a valid object handle
OT PutDate	39	an item with the given tag exists and has any other type
OT PutLong	40	inObject is not a valid object handle
OT PutLong	40	an item with the given tag exists and has any other type
OT PutObject	41	inObject is not a valid object handle
OT PutObject	41	an item with the given tag exists and has any other type
OT PutPicture	42	inObject is not a valid object handle
OT PutPicture	42	an item with the given tag exists and has any other type
OT PutPointer	43	inObject is not a valid object handle
OT PutPointer	43	an item with the given tag exists and has any other type
OT PutReal	44	inObject is not a valid object handle
OT PutReal	44	an item with the given tag exists and has any other type
OT PutRecord	45	inObject is not a valid object handle
OT PutRecord	45	table is not a valid table or field pointer, or if there is no current record for the given table
OT PutString	46	inObject is not a valid object handle
OT PutString	46	an item with the given tag exists and has any other type
OT PutText	47	inObject is not a valid object handle
OT PutText	47	an item with the given tag exists and has any other type
OT PutTime	48	inObject is not a valid object handle
OT PutTime	48	an item with the given tag exists and has any other type
OT GetArray	51	invalid object handle
OT GetArray	51	FailOnNoItem option set
OT GetArray	51	an item with the given tag exists and has any other type
OT GetArrayBLOB	52	invalid object handle
OT GetArrayBLOB	52	FailOnNoItem option set
OT GetArrayBLOB	52	an item with the given tag exists and has any other type, or if the index is out of range
OT GetArrayBoolean	53	invalid object handle
OT GetArrayBoolean	53	FailOnNoItem option set
OT GetArrayBoolean	53	an item with the given tag exists and has any other type, or if the index is out of range
OT GetArrayDate	54	invalid object handle
OT GetArrayDate	54	FailOnNoItem option set
OT GetArrayDate	54	an item with the given tag exists and has any other type, or if the index is out of range
OT GetArrayLong	55	invalid object handle
OT GetArrayLong	55	FailOnNoItem option set
OT GetArrayLong	55	an item with the given tag exists and has any other type, or if the index is out of range
OT GetArrayPicture	56	invalid object handle
OT GetArrayPicture	56	FailOnNoItem option set
OT GetArrayPicture	56	an item with the given tag exists and has any other type, or if the index is out of range
OT GetArrayPointer	57	invalid object handle
OT GetArrayPointer	57	FailOnNoItem option set
OT GetArrayPointer	57	an item with the given tag exists and has any other type, or if the index is out of range
OT GetArrayReal	58	invalid object handle
OT GetArrayReal	58	FailOnNoItem option set
OT GetArrayReal	58	an item with the given tag exists and has any other type, or if the index is out of range
OT GetArrayString	59	invalid object handle
OT GetArrayString	59	FailOnNoItem option set
OT GetArrayString	59	an item with the given tag exists and has any other type, or if the index is out of range
OT GetArrayText	60	invalid object handle
OT GetArrayText	60	FailOnNoItem option set
OT GetArrayText	60	an item with the given tag exists and has any other type, or if the index is out of range
OT GetArrayTime	61	the 4D version is not v14 or later
OT GetArrayTime	61	FailOnNoItem option set
OT GetArrayTime	61	an item with the given tag exists and has any other type, or if the index is out of range
OT GetBLOB	62	invalid object handle
