OTr - OK Variable Behaviour Reference
=======================================
Generated: 2026-04-11
Source: OTr-Phase-009-Spec.md §2.2

This file records, for every public OTr method, whether the legacy OT
counterpart sets the OK system variable, and how OTr replicates that
behaviour. The table is the definitive implementation reference for all
OTr_zSetOK() call sites.

Column key:
  OK=1 success   Y = yes, set explicitly. — = no (OT never did).
  OK=0 error     Y = yes, OTr_zSetOK(0) required on every error path.
                 — = no error path exists.

Where the legacy documentation is silent, the 4D convention is applied:
commands that can fail due to an invalid handle or missing item set OK
to 0 on error; pure query functions that never error (or always return
a sentinel value) do not.

Methods with no legacy OT counterpart (OTr additions) follow the
convention of setting OK to 0 when they have a meaningful failure mode.

OTr Method                    | Legacy Command               | OK=1 | OK=0 | Notes
------------------------------|------------------------------|:----:|:----:|------
OTr_New                       | OT New                       |  —   |  —   | No documented OK behaviour; OTr_New always succeeds
OTr_Clear                     | OT Clear                     |  —   |  Y   | Error on invalid handle; OK on error only
OTr_ClearAll                  | OT ClearAll                  |  —   |  —   | Always succeeds
OTr_Copy                      | OT Copy                      |  —   |  Y   | Returns 0 on error; should set OK to 0
OTr_GetVersion                | OT GetVersion                |  —   |  —   | Always succeeds
OTr_Register                  | OT Register                  |  —   |  —   | No-op; always succeeds
OTr_CompiledApplication       | OT CompiledApplication       |  —   |  —   | Always succeeds
OTr_SetErrorHandler           | OT SetErrorHandler           |  —   |  —   | Always succeeds
OTr_GetOptions                | OT GetOptions                |  —   |  —   | Always succeeds
OTr_SetOptions                | OT SetOptions                |  —   |  —   | Always succeeds
OTr_GetHandleList             | OT GetHandleList             |  —   |  —   | Always succeeds
OTr_IsObject                  | OT IsObject                  |  —   |  —   | Returns 0/1; never errors
OTr_ItemCount                 | OT ItemCount                 |  —   |  Y   | Error on invalid handle
OTr_ObjectSize                | OT ObjectSize                |  —   |  Y   | Legacy OT never sets OK=1; OTr matches
OTr_PutLong                   | OT PutLong                   |  —   |  Y   | Error on invalid handle only
OTr_PutReal                   | OT PutReal                   |  —   |  Y   | As above
OTr_PutString                 | OT PutString                 |  —   |  Y   | As above
OTr_PutText                   | OT PutText                   |  —   |  Y   | As above
OTr_PutDate                   | OT PutDate                   |  —   |  Y   | As above
OTr_PutTime                   | OT PutTime                   |  —   |  Y   | As above
